City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Esperance,AU,-33.8667,121.9,51.64,73,78,11.12,overcast clouds
Dikson,RU,73.5069,80.5464,8.42,92,90,20.85,overcast clouds
New Norfolk,AU,-42.7826,147.0587,58.5,86,3,2.8,overcast clouds
East London,ZA,-33.0153,27.9116,66.0,50,0,6.13,overcast clouds
San Pedro,PH,14.35,121.0167,83.43,76,20,3.44,overcast clouds
Belmonte,BR,-15.8631,-38.8828,76.46,85,4,8.08,overcast clouds
Avarua,CK,-21.2078,-159.775,80.65,83,40,9.22,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,65.93,63,0,12.66,overcast clouds
Busselton,AU,-33.65,115.3333,55.49,78,47,6.11,overcast clouds
Kawhia,NZ,-38.0651,174.8183,55.11,65,2,5.77,overcast clouds
Ancud,CL,-41.8697,-73.8203,48.72,72,80,0.38,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,74.79,81,27,8.03,overcast clouds
Kyzyl-Suu,KG,42.3414,78.0056,43.75,33,0,9.31,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,46.42,70,40,24.16,overcast clouds
Batagay-Alyta,RU,67.8006,130.4114,2.37,94,70,4.41,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,51.82,83,75,17.27,overcast clouds
Ushuaia,AR,-54.8,-68.3,42.46,81,40,34.52,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,37.56,84,6,5.55,overcast clouds
Butaritari,KI,3.0707,172.7902,81.9,79,98,16.11,overcast clouds
Nikolskoye,RU,59.7035,30.7861,37.8,59,100,5.66,overcast clouds
Narsaq,GL,60.9167,-46.05,52.02,68,100,1.41,overcast clouds
Clyde River,CA,70.4692,-68.5914,8.83,85,75,16.11,overcast clouds
Madimba,TZ,-10.4,40.3333,75.92,87,96,11.83,overcast clouds
Rikitea,PF,-23.1203,-134.9692,77.47,66,31,21.36,overcast clouds
Beringovskiy,RU,63.05,179.3167,20.7,97,89,12.21,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,95,100,29.35,overcast clouds
Cape Town,ZA,-33.9258,18.4232,60.91,85,20,9.22,overcast clouds
Kapaa,US,22.0752,-159.319,78.78,83,100,11.5,overcast clouds
Carnarvon,AU,-24.8667,113.6333,59.07,82,0,9.22,overcast clouds
Cayenne,GF,4.9333,-52.3333,84.24,1,75,12.66,overcast clouds
Vestmanna,FO,62.1564,-7.1664,41.92,87,100,3.44,overcast clouds
Mataura,NZ,-46.1927,168.8643,43.97,96,17,1.43,overcast clouds
Pelym,RU,61.0108,61.9978,30.58,91,100,12.21,overcast clouds
