City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,San Pedro,PH,83.43,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
5,Belmonte,BR,76.46,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
6,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
11,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Butaritari,KI,81.9,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
23,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,People ThankYou
27,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
33,Bengkulu,ID,77.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
35,Brokopondo,SR,79.59,overcast clouds,4.75,-55.1667,Matu Island
39,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
41,Arraial Do Cabo,BR,82.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
45,Santa Fe,AR,70.02,overcast clouds,-31.6333,-60.7,Conquistador Hotel
46,Ajdabiya,LY,76.55,overcast clouds,30.7554,20.2263,Almadina Hotel
58,Atuona,PF,78.71,overcast clouds,-9.8,-139.0333,Villa Enata
62,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
63,Vanimo,PG,77.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
67,Tukrah,LY,72.3,overcast clouds,32.5341,20.5791,Lagrota restaurant
68,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
69,Valparaiso,CL,73.04,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
72,Winslow,US,77.18,overcast clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
73,Indramayu,ID,79.93,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
77,Mogadishu,SO,83.44,overcast clouds,2.0371,45.3438,Hotel Juba
78,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
80,Souillac,MU,71.98,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Sur,OM,87.6,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
83,Kutum,SD,80.83,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
87,North Myrtle Beach,US,75.38,overcast clouds,33.816,-78.68,Avista Resort
88,Bambous Virieux,MU,74.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
91,Kavieng,PG,82.87,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
93,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
99,Daru,PG,79.48,overcast clouds,-9.0763,143.2092,Daru Lodge
102,Isangel,VU,77.41,overcast clouds,-19.55,169.2667,Tanna Lodge
107,Lufilufi,WS,77.79,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
109,Dicabisagan,PH,78.57,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
110,Mahebourg,MU,74.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
111,Dingle,PH,76.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Saint-Joseph,RE,73.78,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
114,Awjilah,LY,86.22,overcast clouds,29.1081,21.2869,المنزل
122,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
123,Saint George,US,83.62,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
124,Cabo San Lucas,MX,88.9,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
125,Port Blair,IN,82.4,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
127,Meulaboh,ID,77.47,overcast clouds,4.1363,96.1285,Kost Pria
129,Kudahuvadhoo,MV,84.49,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
131,Quatre Cocos,MU,74.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
132,Laguna,US,70.32,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
133,Paracuru,BR,84.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
135,Georgetown,MY,80.55,overcast clouds,5.4112,100.3354,Cititel Penang
136,Rumonge,BI,70.27,overcast clouds,-3.9736,29.4386,Kwetu Guest House
138,Axim,GH,78.12,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
145,Grenville,GD,82.45,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
147,Hithadhoo,MV,84.88,overcast clouds,-0.6,73.0833,Scoop Guest House
149,San Patricio,US,87.75,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
150,Pemangkat,ID,78.49,overcast clouds,1.1667,108.9667,Ramah Kost KITA
157,Sechura,PE,77.25,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
167,Macau,MO,81.86,overcast clouds,22.2006,113.5461,Grand Emperor Hotel
169,Martinez,US,71.1,overcast clouds,38.0194,-122.1341,Best Western John Muir Inn
171,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
176,Itarema,BR,77.99,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
177,Bandarbeyla,SO,83.17,overcast clouds,9.4942,50.8122,JABIR HOTEL
178,Ciamis,ID,73.81,overcast clouds,-7.3257,108.3534,The Priangan Boutique Hotel @ Yos Sudarso
184,Nishihara,JP,78.85,overcast clouds,26.1842,127.7558,Minshuku Agaihama
186,Odienne,CI,74.82,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
190,Sinnamary,GF,80.24,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
191,Guaruja,BR,85.86,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
193,Lakeside,US,79.97,overcast clouds,30.13,-81.7682,Whitey's Fish Camp
